Date,IntDate,Open,High,Low,Close,Adj Close,Volume
12/25/2006,554,21.530001,22.629999,21.51,22.610001,15.946408,1794500
1/1/2007,555,22.700001,22.84,22.110001,22.299999,15.727774,1227400
1/8/2007,556,22.309999,23.290001,22.08,23.25,16.397791,1418000
1/15/2007,557,23.35,23.49,22.940001,23.4,16.503586,1094100
1/22/2007,558,23.42,23.469999,22.700001,23.059999,16.26379,1569600
1/29/2007,559,23.01,23.709999,21.559999,23.219999,16.376631,3603100
2/5/2007,560,23.190001,23.52,23,23.190001,16.355474,2043800
2/12/2007,561,23.25,24.030001,23.120001,23.9,16.856228,1875900
2/19/2007,562,23.84,24.59,23.74,24.09,16.990227,1629300
2/26/2007,563,24.1,24.1,22.799999,23.33,16.454212,2117100
3/5/2007,564,23.129999,23.9,22.9,23.870001,16.835066,1872600
3/12/2007,565,23.780001,24.07,22.969999,23.559999,16.616428,1941500
3/19/2007,566,23.709999,24.85,23.610001,24.620001,17.524403,1573500
3/26/2007,567,24.620001,25.190001,24.09,24.93,17.745058,1893200
4/2/2007,568,24.950001,25.09,24.66,24.870001,17.702347,1449200
4/9/2007,569,24.9,25.110001,24.52,24.99,17.787764,1176800
4/16/2007,570,25,26,24.85,25.9,18.435497,1623300
4/23/2007,571,25.809999,28.299999,25.43,27.950001,19.894672,4041000
4/30/2007,572,27.950001,28.66,27.57,28.48,20.271931,3034900
5/7/2007,573,28.48,28.73,27.91,28.24,20.101097,2286000
5/14/2007,574,28.200001,28.48,27.65,28.33,20.165161,3121900
5/21/2007,575,28.440001,28.48,27.77,28.110001,20.008564,5045000
5/28/2007,576,28.110001,29.209999,27.92,29.059999,20.684771,2506100
6/4/2007,577,28.92,29.459999,28.09,28.85,20.535294,2242400
6/11/2007,578,28.76,29.379999,28.07,29.15,20.748833,3010500
6/18/2007,579,29.200001,29.379999,28.15,28.309999,20.306257,2141700
6/25/2007,580,28.309999,29.6,27.870001,28.74,20.614689,3045000
7/2/2007,581,28.82,29.690001,28.82,29.65,21.267416,965900
7/9/2007,582,29.610001,29.83,28.67,29.120001,20.887259,2281900
7/16/2007,583,29.120001,29.24,27.940001,28.110001,20.162798,2805200
7/23/2007,584,28.17,28.290001,26.200001,26.889999,19.287712,3497100
7/30/2007,585,26.809999,33.360001,26.01,30.889999,22.156841,9222500
8/6/2007,586,31.700001,32.25,25.950001,29.809999,21.382181,9196600
8/13/2007,587,29.809999,31.1,28.15,29.68,21.288937,5072000
8/20/2007,588,29.68,31.5,29.35,31.5,22.594387,2126200
8/27/2007,589,31.370001,31.379999,29,30.790001,22.085117,2634100
9/3/2007,590,30.82,32.09,30.5,31.26,22.422241,2687800
9/10/2007,591,31.26,31.59,30.32,30.59,21.94166,3239300
9/17/2007,592,30.5,32,30.32,31.809999,22.97846,3355800
9/24/2007,593,31.620001,32,31.049999,31.49,22.747303,2036500
10/1/2007,594,31.5,34.43,31.4,34.209999,24.712135,4185700
10/8/2007,595,34.130001,36.07,34,35.599998,25.71623,2269500
10/15/2007,596,35.669998,36.580002,34.330002,35.560001,25.687334,3109100
10/22/2007,597,35.080002,36.740002,33.529999,35.049999,25.318922,4851900
10/29/2007,598,34.650002,36.099998,33.18,33.77,24.394302,5358400
11/5/2007,599,33.040001,33.860001,31.040001,31.98,23.101261,4472100
11/12/2007,600,31.9,33.98,31.559999,33.189999,23.975323,5449200
11/19/2007,601,33.009998,33.880001,31.790001,33.619999,24.285938,2584600
11/26/2007,602,33.669998,35.330002,33.540001,34.880001,25.196129,3401300
12/3/2007,603,34.130001,34.900002,33.349998,34.650002,25.029978,3143400
12/10/2007,604,34.650002,35.459999,32.509998,32.619999,23.71837,2951100
12/17/2007,605,32.439999,34.049999,31.41,33.700001,24.503653,4249700
12/24/2007,606,34.009998,34.299999,32.950001,33.060001,24.038296,1434700
12/31/2007,607,33.080002,33.41,30.209999,30.280001,22.01693,2517500
1/7/2008,608,30.299999,30.77,27.52,27.559999,20.039186,5060800
1/14/2008,609,27.700001,28.15,24.83,25.450001,18.50498,5183600
1/21/2008,610,24.5,29.1,23.6,28.1,20.43182,5170900
1/28/2008,611,28.1,38.869999,27.93,38.290001,27.841097,13030800
2/4/2008,612,38.290001,38.650002,34.93,35.450001,25.776094,6588500
2/11/2008,613,35.549999,39,34.889999,36.580002,26.597723,6587000
2/18/2008,614,37.029999,37.68,35.470001,36.43,26.488668,2534300
2/25/2008,615,36.330002,38.049999,36.200001,36.48,26.525019,4298300
3/3/2008,616,36.41,38.5,34.259998,34.869999,25.354366,5518700
3/10/2008,617,34.759998,37.09,34.349998,35.450001,25.776094,3724600
3/17/2008,618,35.310001,39,34.16,37.459999,27.412796,4597100
3/24/2008,619,37.450001,39.490002,37.029999,37.560001,27.485979,4828900
3/31/2008,620,37.759998,42.32,37.389999,41.5,30.369232,5473600
4/7/2008,621,41.490002,42.150002,39.959999,40.110001,29.352036,4049400
4/14/2008,622,39.889999,42,39.34,41.529999,30.391178,3056400
4/21/2008,623,41.130001,44.98,39.709999,41.720001,30.530222,7913800
4/28/2008,624,41.970001,41.970001,38.82,39.25,28.722698,5303400
5/5/2008,625,39.439999,40.080002,37.240002,38.84,28.422674,4661500
5/12/2008,626,39.080002,40.450001,38.16,38.880001,28.451935,3013200
5/19/2008,627,39.529999,39.529999,36.75,37.110001,27.156679,3763500
5/26/2008,628,37.049999,38.610001,35.299999,38.299999,28.027506,3692200
6/2/2008,629,38,39.849998,37.509998,37.509998,27.44939,4216500
6/9/2008,630,37.75,38.919998,36.360001,37.290001,27.288393,3090600
6/16/2008,631,37.09,38.049999,35.25,35.380001,26.040771,3066500
6/23/2008,632,35.490002,36.669998,33.299999,33.400002,24.583433,4451300
6/30/2008,633,33.439999,34.349998,31.639999,33,24.289017,3954400
7/7/2008,634,33.369999,35.349998,32.790001,34.950001,25.724276,6055500
7/14/2008,635,35.139999,37.09,34.139999,36.139999,26.600147,5594200
7/21/2008,636,36.419998,41.330002,35.099998,38.93,28.653679,6339000
7/28/2008,637,39.060001,39.98,37.709999,38.580002,28.396072,3312200
8/4/2008,638,38.580002,38.959999,37.139999,37.599998,27.674755,3278900
8/11/2008,639,37.619999,38.709999,36.57,38.419998,28.278303,4073300
8/18/2008,640,38.360001,38.830002,36.119999,37.040001,27.262589,2613600
8/25/2008,641,36.790001,36.790001,34.57,35.720001,26.291029,3567700
9/1/2008,642,35.970001,35.970001,32.189999,33.09,24.355259,3695100
9/8/2008,643,33.790001,34.189999,32.119999,33.610001,24.738005,5100700
9/15/2008,644,32.509998,34.310001,26.84,29.709999,22.013836,10246900
9/22/2008,645,29.25,29.4,27.42,28.41,21.050592,5765700
9/29/2008,646,27.860001,28.08,25.08,25.41,18.827719,5788900
10/6/2008,647,24.790001,25.52,18.719999,20.18,14.952517,7081800
10/13/2008,648,20.629999,23.030001,19.02,20.110001,14.900648,5538300
10/20/2008,649,20.5,22.49,18.52,21.26,15.752745,8285400
10/27/2008,650,20.860001,25.299999,20.41,25.299999,18.746212,6349200
11/3/2008,651,25.23,25.65,21.610001,23.370001,17.316168,4081200
11/10/2008,652,23.93,24.379999,18.620001,19.6,14.522762,4061700
